Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Year,Month,Day,Weekday
3,99,35.0,10,350.0,0,1,2022-01-01,1,2022,1,1,5
2,170,12.5,6,75.0,2,0,2022-01-01,1,2022,1,1,5
6,158,9.5,7,66.5,1,1,2022-01-01,0,2022,1,1,5
0,184,15.5,5,77.5,1,1,2022-01-01,1,2022,1,1,5
4,68,30.5,10,305.0,2,0,2022-01-01,0,2022,1,1,5
4,108,36.5,3,109.5,0,0,2022-01-01,0,2022,1,1,5
5,173,12.5,4,50.0,1,0,2022-01-01,0,2022,1,1,5
2,170,12.5,6,75.0,1,1,2022-01-01,0,2022,1,1,5
1,121,39.5,6,237.0,1,0,2022-01-01,1,2022,1,1,5
1,89,33.5,7,234.5,2,0,2022-01-01,1,2022,1,1,5
6,174,12.5,5,62.5,2,0,2022-01-01,0,2022,1,1,5
0,128,41.0,2,82.0,2,0,2022-01-02,1,2022,1,2,6
1,129,41.0,3,123.0,0,1,2022-01-02,0,2022,1,2,6
6,174,12.5,8,100.0,2,1,2022-01-02,0,2022,1,2,6
1,81,5.0,2,10.0,0,0,2022-01-02,0,2022,1,2,6
0,88,33.5,9,301.5,1,0,2022-01-02,1,2022,1,2,6
7,119,38.0,10,380.0,0,0,2022-01-02,1,2022,1,2,6
7,31,23.0,1,23.0,0,0,2022-01-02,0,2022,1,2,6
6,62,29.0,4,116.0,2,0,2022-01-02,0,2022,1,2,6
4,60,29.0,5,145.0,2,0,2022-01-03,0,2022,1,3,0
7,87,5.0,8,40.0,1,0,2022-01-03,0,2022,1,3,0
1,17,21.5,3,64.5,1,0,2022-01-03,1,2022,1,3,0
5,85,5.0,5,25.0,1,0,2022-01-03,1,2022,1,3,0
1,105,36.5,3,109.5,0,0,2022-01-03,1,2022,1,3,0
3,75,32.0,6,192.0,2,0,2022-01-03,0,2022,1,3,0
6,150,8.0,9,72.0,0,0,2022-01-03,0,2022,1,3,0
4,100,35.0,5,175.0,0,1,2022-01-03,1,2022,1,3,0
6,94,33.5,10,335.0,1,0,2022-01-04,0,2022,1,4,1
7,47,26.0,5,130.0,0,0,2022-01-04,0,2022,1,4,1
2,200,35.0,1,35.0,1,1,2022-01-04,0,2022,1,4,1
5,101,35.0,4,140.0,1,0,2022-01-04,0,2022,1,4,1
6,182,14.0,7,98.0,1,0,2022-01-04,0,2022,1,4,1
6,62,29.0,6,174.0,0,1,2022-01-04,1,2022,1,4,1
0,48,27.5,5,137.5,0,1,2022-01-04,0,2022,1,4,1
0,192,17.0,4,68.0,0,0,2022-01-04,0,2022,1,4,1
4,28,23.0,7,161.0,2,1,2022-01-05,0,2022,1,5,2
6,174,12.5,7,87.5,1,1,2022-01-05,0,2022,1,5,2
5,37,24.5,8,196.0,0,1,2022-01-05,1,2022,1,5,2
1,89,33.5,10,335.0,1,0,2022-01-05,0,2022,1,5,2
5,101,35.0,4,140.0,0,0,2022-01-05,0,2022,1,5,2
1,17,21.5,9,193.5,0,0,2022-01-05,0,2022,1,5,2
2,130,41.0,8,328.0,0,1,2022-01-05,1,2022,1,5,2
7,127,39.5,10,395.0,0,0,2022-01-05,0,2022,1,5,2
5,189,15.5,5,77.5,1,1,2022-01-05,0,2022,1,5,2
6,46,26.0,6,156.0,0,0,2022-01-05,1,2022,1,5,2
3,115,38.0,2,76.0,0,0,2022-01-05,0,2022,1,5,2
1,81,5.0,3,15.0,1,1,2022-01-05,0,2022,1,5,2
3,91,33.5,2,67.0,1,0,2022-01-05,0,2022,1,5,2
0,184,15.5,3,46.5,2,1,2022-01-06,0,2022,1,6,3
1,161,11.0,6,66.0,1,1,2022-01-06,1,2022,1,6,3
1,161,11.0,4,44.0,2,1,2022-01-06,0,2022,1,6,3
2,66,30.5,6,183.0,2,0,2022-01-06,0,2022,1,6,3
3,59,29.0,10,290.0,1,0,2022-01-06,0,2022,1,6,3
